Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating
Fantastic Mr. Fox,2009,PG,87 min,"Animation, Adventure, Comedy",7.9
C.R.A.Z.Y.,2005,,129 min,"Comedy, Drama",7.9
Les choristes,2004,PG-13,97 min,"Drama, Music",7.9
Iron Man,2008,UA,126 min,"Action, Adventure, Sci-Fi",7.9
Shaun of the Dead,2004,UA,99 min,"Comedy, Horror",7.9
Gegen die Wand,2004,R,121 min,"Drama, Romance",7.9
Mystic River,2003,A,138 min,"Crime, Drama, Mystery",7.9
Harry Potter and the Prisoner of Azkaban,2004,U,142 min,"Adventure, Family, Fantasy",7.9
Ying xiong,2002,PG-13,120 min,"Action, Adventure, History",7.9
Hable con ella,2002,R,112 min,"Drama, Mystery, Romance",7.9
No Man's Land,2001,R,98 min,"Comedy, Drama, War",7.9
Cowboy Bebop: Tengoku no tobira,2001,U,115 min,"Animation, Action, Crime",7.9
The Bourne Identity,2002,UA,119 min,"Action, Mystery, Thriller",7.9
Nueve reinas,2000,R,114 min,"Crime, Drama, Thriller",7.9
Children of Men,2006,A,109 min,"Adventure, Drama, Sci-Fi",7.9
Almost Famous,2000,A,122 min,"Adventure, Comedy, Drama",7.9
Mulholland Dr.,2001,R,147 min,"Drama, Mystery, Thriller",7.9
Toy Story 2,1999,U,92 min,"Animation, Adventure, Comedy",7.9
Boogie Nights,1997,R,155 min,Drama,7.9
Mimi wo sumaseba,1995,U,111 min,"Animation, Drama, Family",7.9
Once Were Warriors,1994,A,102 min,"Crime, Drama",7.9
True Romance,1993,R,119 min,"Crime, Drama, Romance",7.9
Trois couleurs: Bleu,1993,U,94 min,"Drama, Music, Mystery",7.9
Jûbê ninpûchô,1993,A,94 min,"Animation, Action, Adventure",7.9
Carlito's Way,1993,A,144 min,"Crime, Drama, Thriller",7.9
Edward Scissorhands,1990,U,105 min,"Drama, Fantasy, Romance",7.9
My Left Foot: The Story of Christy Brown,1989,U,103 min,"Biography, Drama",7.9
Crimes and Misdemeanors,1989,PG-13,104 min,"Comedy, Drama",7.9
The Untouchables,1987,A,119 min,"Crime, Drama, Thriller",7.9
Hannah and Her Sisters,1986,PG-13,107 min,"Comedy, Drama",7.9
Brazil,1985,U,132 min,"Drama, Sci-Fi",7.9
This Is Spinal Tap,1984,R,82 min,"Comedy, Music",7.9
A Christmas Story,1983,U,93 min,"Comedy, Family",7.9
The Blues Brothers,1980,U,133 min,"Action, Adventure, Comedy",7.9
Manhattan,1979,R,96 min,"Comedy, Drama, Romance",7.9
All That Jazz,1979,A,123 min,"Drama, Music, Musical",7.9
Dawn of the Dead,1978,A,127 min,"Action, Adventure, Horror",7.9
All the President's Men,1976,U,138 min,"Biography, Drama, History",7.9
La montaña sagrada,1973,R,114 min,"Adventure, Drama, Fantasy",7.9
Amarcord,1973,R,123 min,"Comedy, Drama, Family",7.9
Le charme discret de la bourgeoisie,1972,PG,102 min,Comedy,7.9
"Aguirre, der Zorn Gottes",1972,,95 min,"Action, Adventure, Biography",7.9
Harold and Maude,1971,PG,91 min,"Comedy, Drama, Romance",7.9
Patton,1970,U,172 min,"Biography, Drama, War",7.9
The Wild Bunch,1969,A,145 min,"Action, Adventure, Western",7.9
Night of the Living Dead,1968,,96 min,"Horror, Thriller",7.9
The Lion in Winter,1968,PG,134 min,"Biography, Drama, History",7.9
In the Heat of the Night,1967,U,110 min,"Crime, Drama, Mystery",7.9
Charade,1963,U,113 min,"Comedy, Mystery, Romance",7.9
The Manchurian Candidate,1962,PG-13,126 min,"Drama, Thriller",7.9
Spartacus,1960,A,197 min,"Adventure, Biography, Drama",7.9
L'avventura,1960,U,144 min,"Drama, Mystery",7.9
Hiroshima mon amour,1959,,90 min,"Drama, Romance",7.9
The Ten Commandments,1956,U,220 min,"Adventure, Drama",7.9
The Searchers,1956,Passed,119 min,"Adventure, Drama, Western",7.9
East of Eden,1955,U,118 min,Drama,7.9
High Noon,1952,PG,85 min,"Drama, Thriller, Western",7.9
Strangers on a Train,1951,A,101 min,"Crime, Film-Noir, Thriller",7.9
Harvey,1950,Approved,104 min,"Comedy, Drama, Fantasy",7.9
Miracle on 34th Street,1947,,96 min,"Comedy, Drama, Family",7.9
Notorious,1946,U,102 min,"Drama, Film-Noir, Romance",7.9
The Big Sleep,1946,Passed,114 min,"Crime, Film-Noir, Mystery",7.9
The Lost Weekend,1945,Passed,101 min,"Drama, Film-Noir",7.9
The Philadelphia Story,1940,,112 min,"Comedy, Romance",7.9
His Girl Friday,1940,Passed,92 min,"Comedy, Drama, Romance",7.9
The Adventures of Robin Hood,1938,PG,102 min,"Action, Adventure, Romance",7.9
A Night at the Opera,1935,Passed,96 min,"Comedy, Music, Musical",7.9
King Kong,1933,Passed,100 min,"Adventure, Horror, Sci-Fi",7.9
Freaks,1932,,64 min,"Drama, Horror",7.9
Nosferatu,1922,,94 min,"Fantasy, Horror",7.9
The Gentlemen,2019,A,113 min,"Action, Comedy, Crime",7.8
Raazi,2018,UA,138 min,"Action, Drama, Thriller",7.8
Sound of Metal,2019,R,120 min,"Drama, Music",7.8
Forushande,2016,UA,124 min,Drama,7.8
Dunkirk,2017,UA,106 min,"Action, Drama, History",7.8
Perfetti sconosciuti,2016,,96 min,"Comedy, Drama",7.8
Hidden Figures,2016,UA,127 min,"Biography, Drama, History",7.8
Paddington 2,2017,U,103 min,"Adventure, Comedy, Family",7.8
Udta Punjab,2016,A,148 min,"Action, Crime, Drama",7.8
Kubo and the Two Strings,2016,PG,101 min,"Animation, Action, Adventure",7.8
M.S. Dhoni: The Untold Story,2016,U,184 min,"Biography, Drama, Sport",7.8
Manchester by the Sea,2016,UA,137 min,Drama,7.8
Under sandet,2015,R,100 min,"Drama, History, War",7.8
Rogue One,2016,UA,133 min,"Action, Adventure, Sci-Fi",7.8
Captain America: Civil War,2016,UA,147 min,"Action, Adventure, Sci-Fi",7.8
The Hateful Eight,2015,A,168 min,"Crime, Drama, Mystery",7.8
Little Women,2019,U,135 min,"Drama, Romance",7.8
Loving Vincent,2017,UA,94 min,"Animation, Biography, Crime",7.8
Pride,2014,R,119 min,"Biography, Comedy, Drama",7.8
Le passé,2013,PG-13,130 min,"Drama, Mystery",7.8
La grande bellezza,2013,,141 min,Drama,7.8
The Lunchbox,2013,U,104 min,"Drama, Romance",7.8
Vicky Donor,2012,UA,126 min,"Comedy, Romance",7.8
Big Hero 6,2014,U,102 min,"Animation, Action, Adventure",7.8
About Time,2013,R,123 min,"Comedy, Drama, Fantasy",7.8
English Vinglish,2012,U,134 min,"Comedy, Drama, Family",7.8
Kaze tachinu,2013,PG-13,126 min,"Animation, Biography, Drama",7.8
Toy Story 4,2019,U,100 min,"Animation, Adventure, Comedy",7.8
La migliore offerta,2013,R,131 min,"Crime, Drama, Mystery",7.8
Moonrise Kingdom,2012,A,94 min,"Comedy, Drama, Romance",7.8
How to Train Your Dragon 2,2014,U,102 min,"Animation, Action, Adventure",7.8
The Big Short,2015,A,130 min,"Biography, Comedy, Drama",7.8
Kokuhaku,2010,,106 min,"Drama, Thriller",7.8
Ang-ma-reul bo-at-da,2010,,144 min,"Action, Crime, Drama",7.8
The Girl with the Dragon Tattoo,2011,R,158 min,"Crime, Drama, Mystery",7.8
Captain Phillips,2013,UA,134 min,"Adventure, Biography, Crime",7.8
Ajeossi,2010,R,119 min,"Action, Crime, Drama",7.8
Straight Outta Compton,2015,R,147 min,"Biography, Drama, History",7.8
Madeo,2009,R,129 min,"Crime, Drama, Mystery",7.8
Chugyeokja,2008,,125 min,"Action, Crime, Thriller",7.8
The Hobbit: The Desolation of Smaug,2013,UA,161 min,"Adventure, Fantasy",7.8
Das weiße Band - Eine deutsche Kindergeschichte,2009,UA,144 min,"Drama, History, Mystery",7.8
Män som hatar kvinnor,2009,R,152 min,"Crime, Drama, Mystery",7.8
The Trial of the Chicago 7,2020,R,129 min,"Drama, History, Thriller",7.8
Druk,2020,,117 min,"Comedy, Drama",7.8
The Fighter,2010,UA,116 min,"Biography, Drama, Sport",7.8
Taken,2008,A,90 min,"Action, Thriller",7.8
The Boy in the Striped Pyjamas,2008,PG-13,94 min,"Drama, History, War",7.8
Once,2007,R,86 min,"Drama, Music, Romance",7.8
The Hobbit: An Unexpected Journey,2012,UA,169 min,"Adventure, Fantasy",7.8
Auf der anderen Seite,2007,,122 min,Drama,7.8
Atonement,2007,R,123 min,"Drama, Mystery, Romance",7.8
Drive,2011,A,100 min,"Crime, Drama",7.8
American Gangster,2007,A,157 min,"Biography, Crime, Drama",7.8
Avatar,2009,UA,162 min,"Action, Adventure, Fantasy",7.8
Mr. Nobody,2009,R,141 min,"Drama, Fantasy, Romance",7.8
Apocalypto,2006,A,139 min,"Action, Adventure, Drama",7.8
Little Miss Sunshine,2006,UA,101 min,"Comedy, Drama",7.8
Hot Fuzz,2007,UA,121 min,"Action, Comedy, Mystery",7.8
The Curious Case of Benjamin Button,2008,UA,166 min,"Drama, Fantasy, Romance",7.8
Veer-Zaara,2004,U,192 min,"Drama, Family, Musical",7.8
Adams æbler,2005,R,94 min,"Comedy, Crime, Drama",7.8
Pride & Prejudice,2005,PG,129 min,"Drama, Romance",7.8
The World's Fastest Indian,2005,U,127 min,"Biography, Drama, Sport",7.8
Tôkyô goddofâzâzu,2003,UA,90 min,"Animation, Adventure, Comedy",7.8
Serenity,2005,PG-13,119 min,"Action, Adventure, Sci-Fi",7.8
Walk the Line,2005,PG-13,136 min,"Biography, Drama, Music",7.8
Ondskan,2003,,113 min,Drama,7.8
The Notebook,2004,A,123 min,"Drama, Romance",7.8
Diarios de motocicleta,2004,U,126 min,"Adventure, Biography, Drama",7.8
Lilja 4-ever,2002,R,109 min,"Crime, Drama",7.8
Les triplettes de Belleville,2003,PG-13,80 min,"Animation, Comedy, Drama",7.8
Gongdong gyeongbi guyeok JSA,2000,,110 min,"Action, Drama, Thriller",7.8
The Count of Monte Cristo,2002,PG-13,131 min,"Action, Adventure, Drama",7.8
Waking Life,2001,R,99 min,"Animation, Drama, Fantasy",7.8
Remember the Titans,2000,U,113 min,"Biography, Drama, Sport",7.8
Wo hu cang long,2000,UA,120 min,"Action, Adventure, Fantasy",7.8
Todo sobre mi madre,1999,R,101 min,Drama,7.8
Cast Away,2000,UA,143 min,"Adventure, Drama, Romance",7.8
The Boondock Saints,1999,R,108 min,"Action, Crime, Thriller",7.8
The Insider,1999,UA,157 min,"Biography, Drama, Thriller",7.8
October Sky,1999,PG,108 min,"Biography, Drama, Family",7.8
Shrek,2001,U,90 min,"Animation, Adventure, Comedy",7.8
Titanic,1997,UA,194 min,"Drama, Romance",7.8
Hana-bi,1997,,103 min,"Crime, Drama, Romance",7.8
Gattaca,1997,UA,106 min,"Drama, Sci-Fi, Thriller",7.8
The Game,1997,UA,129 min,"Action, Drama, Mystery",7.8
Breaking the Waves,1996,R,159 min,Drama,7.8
Ed Wood,1994,U,127 min,"Biography, Comedy, Drama",7.8
What's Eating Gilbert Grape,1993,U,118 min,Drama,7.8
Tombstone,1993,R,130 min,"Action, Biography, Drama",7.8
The Sandlot,1993,U,101 min,"Comedy, Drama, Family",7.8
The Remains of the Day,1993,U,134 min,"Drama, Romance",7.8
Naked,1993,,132 min,"Comedy, Drama",7.8
The Fugitive,1993,U,130 min,"Action, Crime, Drama",7.8
A Bronx Tale,1993,R,121 min,"Crime, Drama, Romance",7.8
Batman: Mask of the Phantasm,1993,PG,76 min,"Animation, Action, Crime",7.8
Lat sau san taam,1992,R,128 min,"Action, Crime, Thriller",7.8
Night on Earth,1991,R,129 min,"Comedy, Drama",7.8
La double vie de Véronique,1991,R,98 min,"Drama, Fantasy, Music",7.8
Boyz n the Hood,1991,A,112 min,"Crime, Drama",7.8
Misery,1990,R,107 min,"Drama, Thriller",7.8
Awakenings,1990,U,121 min,"Biography, Drama",7.8
Majo no takkyûbin,1989,U,103 min,"Animation, Adventure, Drama",7.8
Glory,1989,R,122 min,"Biography, Drama, History",7.8
Dip huet seung hung,1989,R,111 min,"Action, Crime, Drama",7.8
Back to the Future Part II,1989,U,108 min,"Adventure, Comedy, Sci-Fi",7.8
Mississippi Burning,1988,A,128 min,"Crime, Drama, History",7.8
Predator,1987,A,107 min,"Action, Adventure, Sci-Fi",7.8
Evil Dead II,1987,A,84 min,"Action, Comedy, Fantasy",7.8
Ferris Bueller's Day Off,1986,U,103 min,Comedy,7.8
Down by Law,1986,R,107 min,"Comedy, Crime, Drama",7.8
The Goonies,1985,U,114 min,"Adventure, Comedy, Family",7.8
The Color Purple,1985,U,154 min,Drama,7.8
The Breakfast Club,1985,UA,97 min,"Comedy, Drama",7.8
The Killing Fields,1984,UA,141 min,"Biography, Drama, History",7.8
Ghostbusters,1984,UA,105 min,"Action, Comedy, Fantasy",7.8
The Right Stuff,1983,PG,193 min,"Adventure, Biography, Drama",7.8
The King of Comedy,1982,U,109 min,"Comedy, Crime, Drama",7.8
E.T. the Extra-Terrestrial,1982,U,115 min,"Family, Sci-Fi",7.8
Kramer vs. Kramer,1979,A,105 min,Drama,7.8
Days of Heaven,1978,PG,94 min,"Drama, Romance",7.8
The Outlaw Josey Wales,1976,A,135 min,Western,7.8
